SPXT,S5UTIL,S5TELS,S5RLST,S5MATR,S5INFT,S5INDU,S5HLTH,S5FINL,S5ENRS,S5CONS,S5COND,RUTPINTR,RUMRINTR,RUMCINTR,RU20VATR,RU20INTR,RU20GRTR,RU10VATR,RU10GRTR,NDUEEGF,NDDUWXUS,NDDUUK,NDDUPXJ,NDDUNA,NDDUJN,NDDUE15X,LMBITR,LG30TRUU,LBUSTRUU,BCOMTR
1595.35,137.2,154.42,92.77,135.43,357.53,251.66,381.61,348.95,207.27,220.68,239.72,2297.3201,667.9752,2929.7,2901.56,1921.2,1777.763,463.551,386.5102,100.671,2105.448,2669.433,1325.399,2510.571,2445.722,2326.349,567.7486,320.2112,1017.44,147.842
1584.06,138.15,152.04,92.77,134.6,351.75,250.5,382.29,345.01,208.12,220.83,237.09,2278.6699,664.0292,2920.39,2881.45,1909.074,1767.769,460.786,383.4461,100.452,2101.402,2680.337,1320.198,2492.823,2396.6,2330.731,568.1548,320.051,1019.44,150.005
1544.89,135.53,145.05,93.18,133.14,342.7,240.65,374.8,333.55,204.22,220.83,232.24,2221.6899,651.5806,2859.15,2846.63,1869.557,1714.221,450.434,373.6201,99.971,2089.48,2674.056,1326.394,2431.117,2379.146,2314.297,569.1385,320.4933,1022.7,149.512
1538.7,132.9,141.28,92.1,131.92,339.3,240.09,378.01,331.38,203.22,222.42,231.72,2216.47,648.1548,2846.31,2846.3,1864.542,1704.635,447.554,373.8813,100.084,2057.588,2638.421,1314.697,2422.904,2323.13,2281.248,569.7126,320.3152,1021.57,149.841
1529.68,130.96,137.41,91.35,131.83,336.45,242.72,373.49,328.15,205.55,220.77,230.91,2200.9199,639.2722,2824.03,2816.5,1839.279,1675.549,443.877,371.5623,100.579,2041.85,2619.333,1311.07,2408.955,2317.992,2255.899,570.3277,320.3827,1020.57,148.843
1525.26,131.93,141.29,91.11,131.88,327.99,243.77,370.8,329.98,202.2,220.21,232.18,2195.99,632.9807,2801.26,2799.64,1823.445,1656.083,444.912,368.0002,99.59,2061.958,2644.775,1298.077,2401.737,2368.694,2277.752,569.855,319.6817,1019.87,149.21
1547.94,132.43,145.28,91.7,134.38,332.67,246.18,375.22,338.94,202.72,219.92,236.81,2229.95,643.2797,2844.85,2846.82,1856.389,1688.325,451.466,373.9792,99.8,2069.984,2657.677,1314.901,2438.432,2375.287,2281.068,570.3948,319.922,1022.83,150.757
1570.21,133.8,144.37,92.48,138.37,341.95,250.52,378.61,341.93,205.32,221.16,241.3,2259.3999,646.7864,2892.32,2871.02,1874.924,1708.065,456.827,380.0436,99.636,2097.388,2682.82,1333.628,2472.879,2396.438,2319.155,570.5254,320.2343,1022.51,152.317
1563.95,134.86,143.53,91.61,137.41,337.05,248.55,382.27,339.83,204.01,222.02,240.23,2250.3,648.123,2887.69,2870.94,1877.821,1713.79,455.454,378.5628,100.038,2103.136,2684.197,1329.878,2462.491,2466.024,2309.011,570.5218,320.765,1020.41,151.927
1580.03,135.65,143.72,91.99,138.31,342.92,250.55,383.42,345.06,205.12,223.09,243.18,2273.27,652.9565,2916.63,2898.02,1895.403,1729.694,459.473,382.9212,100.693,2111.258,2696.176,1327.988,2486.646,2480.925,2317.464,569.5363,321.3482,1019.8,152.693
1577.29,135.04,142.56,92.47,137.54,340.21,249.85,381.14,345.78,206.33,224.09,243.68,2270.27,645.9836,2909.2,2872.43,1873.286,1703.899,459.648,381.538,102.841,2127.886,2718.727,1345.232,2482.854,2498.751,2337.391,570.2535,321.3641,1021.44,151.811
1559.98,133.1,140.99,93.33,139.07,329.38,248.32,382.04,339.37,206.84,225.66,240.28,2240.49,644.5471,2890.19,2874.56,1867.294,1690.722,456.036,375.7143,102.749,2118.465,2715.369,1347.624,2453.355,2489.86,2319.581,571.196,321.7559,1025.13,151.608
1530.58,131.45,138.85,91.68,136.44,319.04,244.83,376.88,330.67,204.74,223.72,236.0694,2197.6599,633.6339,2835.07,2836.11,1830.441,1644.875,448.26,367.7534,101.655,2070.579,2663.052,1339.125,2408.576,2413.491,2260.773,571.5152,321.1309,1024.68,150.758
1551.37,130.96,142.05,92.9,138.19,321.88,249.87,383.19,335.57,204.78,226.72,239.69,2229.48,640.1658,2865.01,2885.21,1859.663,1668.531,454.305,372.7529,100.562,2054.816,2630.443,1331.486,2439.942,2399.406,2246.372,571.9413,320.8636,1024.73,150.304
1527.34,130.74,137.6,91.99,139.19,306.14,249.24,380.26,330.47,206.39,224.46,237.15,2191.8401,629.5518,2834.39,2839.8,1824.623,1630.975,450.146,364.6383,100.523,2078.519,2650.005,1329.013,2403.241,2473.001,2267.446,572.6557,320.8536,1025.45,151.337
1539.91,132.22,139.95,93.46,140.59,306.78,251.31,383.32,330.12,212.74,228.77,238.46,2211.3501,635.5247,2846.04,2886.12,1851.004,1650.965,454.096,367.0806,100.456,2074.898,2646.126,1312.39,2422.792,2490.398,2257.694,573.7197,320.4485,1027.1,151.041
1567.59,131.92,144.36,93.86,141.13,317.87,257.46,382.04,338.2,215.24,231.2,242.47,2252.3999,637.5768,2888.57,2902.5,1863.449,1664.128,461.752,373.8943,100.688,2085.495,2669.346,1302.961,2465.538,2479.518,2277.239,573.9151,320.4868,1026.62,148.914
1567.65,133.7,144.09,93.48,141.79,315.83,257.23,381.81,339.39,214.14,230.55,243.77,2248.49,639.4349,2908.03,2920.14,1875.927,1676.49,462.628,373.3803,101.177,2089.233,2686.179,1306.539,2465.133,2459.237,2284.698,573.8326,320.2753,1024.42,150.566
1569.01,134.37,144.62,93.65,142.2,311.92,258.69,383.7,341.98,214.54,229.45,243.14,2250.25,640.3505,2911.11,2932.26,1881.448,1679.025,464.442,372.5093,102.998,2114.086,2696.591,1308.298,2467.779,2516.192,2314.608,574.1803,320.9194,1028.61,151.358
1564.59,133.54,144.47,93.31,142.16,307.34,257.5,382.58,343.38,215.44,229.47,242.59,2244.8899,638.683,2898.61,2919.23,1868.547,1662.7,464.295,370.4702,102.303,2118.284,2656.555,1306.716,2461.249,2547.227,2331.704,574.5946,320.9444,1027.3,151.673
1600.02,135.99,147.2,94.14,144.1,324.66,263.64,388.1,347.65,218.68,232.8,246.93,2299.4199,646.4055,2955.01,2967.17,1904.319,1699.934,472.842,380.8697,103.517,2143.461,2700.666,1308.76,2519.562,2607.389,2344.117,573.3746,321.0973,1022.98,154.133
1631.25,138.87,147.56,95.25,148.46,336.27,271.54,388.87,359.1,221.78,231.34,250.69,2342.7,653.856,3029.02,3011.25,1942.825,1745.125,482.123,388.8753,105.923,2210.72,2744.918,1335.282,2570.253,2762.293,2413.36,572.4356,321.8222,1022.45,155.066
1620.37,141.79,146.31,96.57,144.34,338.99,268.48,382.15,359.35,221.19,229,245.61,2328.54,655.5865,3014.73,3008.4,1941.166,1743.825,479.506,386.5294,106.484,2202.854,2729.908,1346.85,2553.699,2748.392,2404.401,572.1403,322.2496,1022.86,156.302
