Date,Open,High,Low,Close,Volumn
1/3/2000,641.0967559,644.384759,637.8087528,638.4472,1
1/4/2000,607.7740694,611.426192,604.1219468,608.6871,1
1/5/2000,608.9495099,610.8336735,607.0653464,607.7947,1
1/6/2000,593.4810864,597.964783,588.9973898,593.8671,1
1/7/2000,619.8750064,621.8639766,617.8860361,621.5532,1
1/10/2000,634.8196061,638.9916509,630.6475613,636.9534,1
1/11/2000,625.4843422,627.2980654,623.670619,625.4218,1
1/12/2000,618.576665,622.1422165,615.0111136,620.0959,1
1/13/2000,630.729062,631.832893,629.6252309,630.7606,1
1/14/2000,638.9539974,641.7670829,636.140912,639.3376,1
1/18/2000,637.0826374,640.3353368,633.829938,637.7842,1
1/19/2000,639.8395885,643.4653783,636.2137988,641.7327,1
1/20/2000,639.3315608,643.7478065,634.9153152,640.0356,1
1/21/2000,639.3682725,641.2819758,637.4545692,637.9011,1
1/24/2000,617.1032856,617.9983091,616.2082621,617.2576,1
1/25/2000,624.5160058,626.1702288,622.8617828,624.2351,1
1/26/2000,615.3146838,617.6568613,612.9725063,616.3625,1
1/27/2000,616.495698,619.93295,613.058446,613.795,1
1/28/2000,597.3723521,601.9060348,592.8386694,596.5372,1
1/31/2000,607.571322,611.3680733,603.7745708,607.4802,1
2/1/2000,619.6573,620.8346489,618.4799511,619.6573,1
2/2/2000,619.5033509,623.2887565,615.7179453,620.5583,1
2/3/2000,634.686429,639.245685,630.127173,633.23,1
2/4/2000,633.2853019,636.6215599,629.949044,635.4777,1
2/7/2000,639.3454017,643.5291395,635.1616638,638.7386,1
2/8/2000,649.2643124,651.7013688,646.827256,649.8817,1
2/9/2000,637.2702237,639.6911243,634.8493232,637.0791,1
2/10/2000,646.8794308,650.2308037,643.5280578,644.4948,1
2/11/2000,629.4066214,633.2471539,625.5660888,629.5955,1
2/14/2000,632.9880139,634.5980278,631.378,631.378,1
2/15/2000,635.6748334,638.3425335,633.0071332,635.1667,1
2/16/2000,627.8831438,628.7944401,626.9718475,628.4802,1
2/17/2000,633.2979241,636.3964362,630.199412,632.3494,1
2/18/2000,614.6483517,616.0308266,613.2658767,614.4333,1
2/22/2000,616.4186673,621.8775207,610.9598138,616.8196,1
2/23/2000,632.0095586,633.618207,630.4009103,630.8425,1
2/24/2000,636.2389844,640.0134716,632.4644972,634.3676,1
2/25/2000,623.184046,624.869677,621.4984149,624.3078,1
2/28/2000,627.8684797,630.2825144,625.454445,627.022,1
2/29/2000,638.993155,642.1471822,635.8391279,637.1772,1
3/1/2000,641.4309083,644.4501624,638.4116541,642.3945,1
3/2/2000,641.9976876,647.322009,636.6733663,641.4845,1
3/3/2000,660.8580619,664.1544409,657.5616829,659.2758,1
3/6/2000,654.6408764,659.5389277,649.7428252,653.0735,1
3/7/2000,632.2606893,637.2217033,627.2996754,631.9763,1
